Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
06.010040.0200,"1-1/4"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0210,"1-1/2"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0220,"2"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0230,"2-1/2"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050 Pipe Schedule-40 A53 Black - Beveled End,,,,,,,,,,,,,
06.010050.0010,"1/8"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0020,"1/4"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0030,"3/8"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0040,"1/2"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0050,"3/4"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0060,"1"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0070,"1-1/4"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0080,"1-1/2"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0090,"2"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0100,"2-1/2"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0110,"3"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0120,"3-1/2"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0130,"4"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0140,"5"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,65,1,HR,0,0,1,HR,0
06.010050.0150,"2-1/2"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0160,"3"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0170,"3-1/2"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0180,"4"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0190,"5"" A53 Beveled End Schedule-40 Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0200,"1/4"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0210,"3/8"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0220,"1/2"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0230,"3/4"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0240,"1"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0250,"1-1/4"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0260,"1-1/2"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010050.0270,"2"" A53 Beveled End Schedule-40 Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060 Pipe Schedule-80 A53 Black - Beveled End,,,,,,,,,,,,,
06.010060.0010,"1/4"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0020,"3/8"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0030,"1/2"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0040,"3/4"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0050,"1"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0060,"1-1/4"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0070,"1-1/2"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0080,"2"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0090,"2-1/2"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0100,"3"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0110,"3-1/2"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0120,"4"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0130,"5"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,65,1,HR,0,0,1,HR,0
06.010060.0140,"3"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0150,"3-1/2"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0160,"4"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0170,"5"" A53 Schedule-80 Beveled End Black Pipe",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0180,"3/8"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0190,"1/2"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0200,"3/4"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0210,"1"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0220,"1-1/4"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0230,"1-1/2"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0240,"2"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010060.0250,"2-1/2"" A53 Schedule-80 Beveled End Black Pipe DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070 Pipe Schedule-40 A53 Black - Victaulic,,,,,,,,,,,,,
06.010070.0010,"2"" A53 Schedule-40 Black Pipe, Victaulic",LF,2.89,1,,75,0.16,HR,0,0,1,HR,0
06.010070.0020,"2-1/2"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0030,"3"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0040,"3-1/2"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0050,"4"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0060,"5"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0070,"6"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0080,"8"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0090,"10"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0100,"12"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0110,"14"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0120,"16"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0130,"18"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0140,"20"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,65,1,HR,0,0,1,HR,0
06.010070.0150,"12"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0160,"14"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0170,"16"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0180,"18"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0190,"20"" A53 Schedule-40 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0200,"2-1/2"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0210,"3"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0220,"3-1/2"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0230,"4"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0240,"5"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0250,"6"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0260,"8"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010070.0270,"10"" A53 Schedule-40 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080 Pipe Schedule-80 A53 Black - Seamless,,,,,,,,,,,,,
06.010080.0010,"2"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0020,"2-1/2"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0030,"3"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0040,"3-1/2"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0050,"4"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0060,"5"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0070,"6"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0080,"8"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0090,"10"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
